Commune;Population standardisée par la consommation de soins de médecine générale par tranche d'âge;APL aux médecins généralistes
02219;205,6943953;1,711060751
02220;428,4893295;1,987823001
02221;141,2762178;2,55462534
02222;32,00655571;2,882608364
02223;295,4914696;2,987378583
02224;329,9574436;3,488465372
02225;89,37333134;0,921319994
02226;1880,321625;3,888365779
02227;143,5852846;2,765028427
02228;351,5229039;4,30239202
02229;69,14525634;2,334204586
02230;185,7125257;2,917244412
02231;880,2524682;1,97695769
02232;337,936469;2,79044864
02233;139,0222349;2,42963597
02234;83,20099357;2,033146808
02235;119,7174698;1,852790956
02236;342,643532;1,418585386
02237;1545,735116;2,145180037
02238;1822,395992;2,810203833
02239;1170,690446;4,618898282
02240;255,6068708;2,496259945
02241;100,9910691;1,829407623
02242;623,016981;2,102336051
02243;2978,626862;4,761609557
02244;62,34898741;2,074531986
02245;1721,157881;3,362728975
02246;597,9685479;2,975272621
02248;151,7743997;1,743534911
02249;102,1770218;2,226165334
02250;70,66582357;2,29442991
02251;31,2358805;2,963543218
02252;69,25723748;1,819699604
02253;348,1249181;2,523165961
02254;117,5777953;1,509437101
02255;137,1378579;2,315289169
02256;130,5360092;3,469633891
02257;447,6238619;3,833460164
02258;380,905933;1,883843477
02259;395,6531157;2,385841343
02260;652,2770499;2,689457436
02261;390,8250881;2,688306165
02262;214,8682974;3,532831189
02263;111,1539519;2,556957213
02264;759,6811764;1,914664075
02265;117,487111;2,43321325
02266;50,75382107;3,147343025
02267;276,8217893;3,061739982
02268;614,8578407;2,796354482
02269;150,7378389;3,974540267
02270;154,6408336;1,875027528
02271;131,5626195;1,846145506
02272;74,37130929;0,64471223
02273;218,5248561;2,551041563
02274;191,8812441;1,932939513
02275;319,2842812;3,344447927
02276;123,0307962;2,057009351
02277;323,2375834;0,718547926
02278;33,04082696;3,426268976
02279;539,1435205;2,289295569
02280;378,620532;3,390572772
02281;257,0090276;3,490084735
02282;400,0586445;3,899074729
02283;271,4437771;2,959216516
02284;103,0001276;1,248260099
02286;856,6166848;3,846572936
02287;1067,487123;5,241557844
02288;346,0906763;2,137310429
02289;412,1551686;4,012229715
02290;2771,3471;3,928050803
02291;409,2912856;2,622950092
02292;1275,487163;4,412780921
02293;549,5419631;3,732392928
02294;220,1256537;4,507336589
02295;874,7328334;2,651187623
02296;1285,113651;2,868475009
02297;117,4698137;2,285580343
02298;1482,973938;4,482047811
02299;559,7406918;3,663088138
02302;299,259151;2,243764688
02303;679,3021787;3,751394845
02304;2828,039261;2,597986585
02305;3178,488509;2,391254089
02306;544,1166437;2,460911281
02307;2108,261634;2,614610468
02308;492,5239371;3,569328488
02309;639,8808716;2,091120353
02310;256,4520595;3,626188466
02311;125,65202;2,855674843
02312;1092,220885;3,611220205
02313;468,8840536;2,793687725
02315;1717,549602;3,084181531
02316;147,3554545;1,889243395
02317;224,5615114;1,949899419
02318;1387,751848;2,431864446
02319;462,8499403;2,910258089
02320;257,6937197;3,812146333
02321;893,2161931;2,227262882
02322;386,8362699;2,693871432
02323;125,016097;2,581362113
02324;273,518633;4,230355069
02326;510,6436892;2,082041145
02327;164,2575105;1,790530952
02328;538,0774185;4,107989944
02329;420,2278158;2,926137179
02330;485,5227707;3,869509008
02331;120,725075;2,592512959
02332;270,5020141;2,695710933
02333;155,025957;1,39740824
02334;2975,322546;2,544531184
02335;185,1368932;2,804462219
02336;942,5569533;4,014241399
02337;172,9844695;2,420002063
02338;260,722756;3,632803796
02339;668,2926245;1,517595908
02340;5337,263979;4,282234737
02341;278,383653;3,245408017
02342;133,2812678;2,835071194
02343;77,49446751;1,790530952
02345;39,47452745;5,547927315
02346;693,8009648;2,069374078
02347;465,2906522;3,966479428
02349;58,10378568;2,724811273
02350;136,756186;1,932939513
02351;115,8975977;2,348787103
02352;551,4394991;3,375432441
02353;303,8781065;2,599609037
02354;79,81413745;4,104120746
02355;930,8405137;2,278118206
02356;239,1110638;2,371978852
02357;70,52306354;3,261729055
02358;356,6508952;4,41235792
02359;1273,490389;4,35612655
02360;2706,252809;2,877704235
02361;5039,687891;3,729848028
02362;245,7753356;2,681930392
02363;420,9142916;1,718455248
02364;244,1438783;1,939133538
02366;307,6136786;3,406000792
02367;131,3296016;3,105815592
02368;577,6571857;2,613294303
02369;251,7086285;2,509108628
02370;574,6891768;3,24455662
02371;1696,756497;4,546762454
02372;370,2804901;2,50972124
02373;211,6187582;3,173393547
02374;849,1728864;3,04136945
02375;158,2854384;0,867294637
02376;167,5810897;4,04849105
02377;149,9337693;1,566922162
02378;150,2542601;3,426268976
02379;236,2725703;3,760638675
02380;27,31214233;3,925497033
02381;8971,287869;3,906871805
02382;1409,363373;3,80844134
02383;1467,020223;4,113911616
02384;49,90446513;2,630936325
02385;148,2148376;2,866138497
02386;246,9336371;3,473994663
02387;1049,270936;5,356814749
02388;244,4324468;2,568955502
02389;663,3511148;3,978765199
02390;256,947021;1,855609997
02391;212,9166908;3,380344028
02392;303,0043784;2,152570878
02393;139,4121941;2,633561593
02395;138,5746273;1,355890079
02396;60,08879874;1,604729207
02397;1228,944711;2,778005614
02398;269,996168;1,740237363
02399;565,2915183;3,21853257
02400;149,4092895;2,768772729
02401;203,9991003;2,205160555
02402;34,91150257;1,396008803
02403;272,8966796;3,823114324
02404;177,7826768;2,697560395
02405;538,4275797;3,637885471
02406;134,6817127;1,602114565
02407;176,7121466;3,722205374
02408;24692,28178;4,114430449
02409;264,8864073;2,086377588
02410;240,9196937;2,919431037
02411;194,8640136;1,322070202
02412;90,86852917;0,985849321
02413;245,8655059;4,358664952
02414;206,4303815;3,793626738
02415;148,0668118;2,313666106
02416;448,7163536;1,946342534
02417;101,4658614;2,974686295
02418;213,8044499;2,420002063
02419;289,5556215;3,293075313
02420;846,3398521;2,755627866
02421;100,4959828;2,92615824
02422;813,169972;3,410133822
02423;404,6547076;2,040274589
02424;110,6156238;2,821775177
02425;175,2340454;3,521536782
02426;540,7742114;1,557925453
02427;131,7733358;2,20443682
02428;71,60193533;1,709537973
02429;120,8647197;1,15189691
02430;1347,563233;2,312458311
02431;413,3082105;3,651002409
02432;191,5363003;3,240020208
02433;230,6916374;2,67579619
02435;79,95991605;3,522637416
02438;268,2779829;2,653981155
02439;1117,601713;2,749720773
02440;143,7391704;2,869179703
02441;205,041215;1,435446317
02442;95,41956199;3,038671311
02443;190,8411889;2,668021914
02444;122,709026;3,372431719
02445;300,6072594;3,427922346
02446;110,3332425;3,810700358
02447;143,9722244;1,865686324
02448;122,2750382;1,754247923
